drugbank_id,name,groups,atc_codes,smiles,logP
DB00006,Bivalirudin,approved|investigational,B01AE06,CCC(C)C(NC(=O)C(CCC(=O)O)NC(=O)C(CCC(=O)O)NC(=O)C(Cc1ccccc1)NC(=O)C(CC(=O)O)NC(=O)CNC(=O)C(CC(N)=O)NC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)C1CCCN1C(=O)C(CCCNC(=N)N)NC(=O)C1CCCN1C(=O)C(N)Cc1ccccc1)C(=O)N1CCCC1C(=O)NC(CCC(=O)O)C(=O)NC(CCC(=O)O)C(=O)NC(Cc1ccc(O)cc1)C(=O)NC(CC(C)C)C(=O)O,
DB00007,Leuprolide,approved|investigational,L02AE51|L02AE02,CCNC(=O)C1CCCN1C(=O)C(CCCNC(=N)N)NC(=O)C(CC(C)C)NC(=O)C(CC(C)C)NC(=O)C(Cc1ccc(O)cc1)NC(=O)C(CO)NC(=O)C(Cc1c[nH]c2ccccc12)NC(=O)C(Cc1c[nH]cn1)NC(=O)C1CCC(=O)N1,
DB00014,Goserelin,approved,L02AE03,CC(C)CC(NC(=O)C(COC(C)(C)C)NC(=O)C(Cc1ccc(O)cc1)NC(=O)C(CO)NC(=O)C(Cc1c[nH]c2ccccc12)NC(=O)C(Cc1cnc[nH]1)NC(=O)C1CCC(=O)N1)C(=O)NC(CCCN=C(N)N)C(=O)N1CCCC1C(=O)NNC(N)=O,-2
DB00027,Gramicidin D,approved,R02AB30,CC(C)CC(NC(=O)CNC(=O)C(NC=O)C(C)C)C(=O)NC(C)C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(Cc1c[nH]c2ccccc12)C(=O)NC(CC(C)C)C(=O)NC(Cc1c[nH]c2ccccc12)C(=O)NC(CC(C)C)C(=O)NC(Cc1c[nH]c2ccccc12)C(=O)NC(CC(C)C)C(=O)NC(Cc1c[nH]c2ccccc12)C(=O)NCCO)C(C)C)C(C)C)C(C)C,
DB00035,Desmopressin,approved,H01BA02,N=C(N)NCCCC(NC(=O)C1CCCN1C(=O)C1CSSCCC(=O)NC(Cc2ccc(O)cc2)C(=O)NC(Cc2ccccc2)C(=O)NC(CCC(N)=O)C(=O)NC(CC(N)=O)C(=O)N1)C(=O)NCC(N)=O,
DB00050,Cetrorelix,approved|investigational,H01CC02,CC(=O)NC(Cc1ccc2ccccc2c1)C(=O)NC(Cc1ccc(Cl)cc1)C(=O)NC(Cc1cccnc1)C(=O)NC(CO)C(=O)NC(Cc1ccc(O)cc1)C(=O)NC(CCCNC(N)=O)C(=O)NC(CC(C)C)C(=O)NC(CCCNC(=N)N)C(=O)N1CCCC1C(=O)NC(C)C(N)=O,
DB00067,Vasopressin,approved,,NC(=O)CCC1NC(=O)C(Cc2ccccc2)NC(=O)C(Cc2ccc(O)cc2)NC(=O)C(N)CSSCC(C(=O)N2CCCC2C(=O)NC(CCCN=C(N)N)C(=O)NCC(N)=O)NC(=O)C(CC(N)=O)NC1=O.NCCCCC(NC(=O)C1CCCN1C(=O)C1CSSCC(N)C(=O)NC(Cc2ccc(O)cc2)C(=O)NC(Cc2ccccc2)C(=O)NC(CCC(N)=O)C(=O)NC(CC(N)=O)C(=O)N1)C(=O)NCC(N)=O,
DB00080,Daptomycin,approved|investigational,J01XX09,CCCCCCCCCC(=O)NC(Cc1c[nH]c2ccccc12)C(=O)NC(CC(N)=O)C(=O)NC(CC(=O)O)C(=O)NC1C(=O)NCC(=O)NC(CCCN)C(=O)NC(CC(=O)O)C(=O)NC(C)C(=O)NC(CC(=O)O)C(=O)NCC(=O)NC(CO)C(=O)NC(C(C)CC(=O)O)C(=O)NC(CC(=O)c2ccccc2N)C(=O)OC1C,
DB00091,Cyclosporine,approved|investigational|vet_approved,L04AD01|S01XA18,CC=CCC(C)C(O)C1C(=O)NC(CC)C(=O)N(C)CC(=O)N(C)C(CC(C)C)C(=O)NC(C(C)C)C(=O)N(C)C(CC(C)C)C(=O)NC(C)C(=O)NC(C)C(=O)N(C)C(CC(C)C)C(=O)N(C)C(CC(C)C)C(=O)N(C)C(C(C)C)C(=O)N1C,1.4 
DB00106,Abarelix,approved|investigational|withdrawn,L02BX01,CC(=O)NC(Cc1ccc2ccccc2c1)C(=O)NC(Cc1ccc(Cl)cc1)C(=O)NC(Cc1cccnc1)C(=O)NC(CO)C(=O)N(C)C(Cc1ccc(O)cc1)C(=O)NC(CC(N)=O)C(=O)NC(CC(C)C)C(=O)NC(CCCCNC(C)C)C(=O)N1CCCC1C(=O)NC(C)C(N)=O,
DB00114,Pyridoxal phosphate,approved|investigational|nutraceutical,A11HA06,Cc1ncc(COP(=O)(O)O)c(C=O)c1O,-1.2
DB00115,Cyanocobalamin,approved|nutraceutical,B03BA01|B03AE01|B03BA51,CC1=C2N=C(C=C3N=C(C(C)=C4C(CCC(N)=O)C(C)(CC(N)=O)C(C)(C5N=C1C(C)(CCC(=O)NCC(C)OP(=O)([O-])OC1C(CO)OC(n6cnc7cc(C)c(C)cc76)C1O)C5CC(N)=O)N4[Co+]C#N)C(C)(CC(N)=O)C3CCC(N)=O)C(C)(C)C2CCC(N)=O,1.897
DB00116,Tetrahydrofolic acid,nutraceutical,,Nc1nc(=O)c2c([nH]1)NCC(CNc1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1)N2,-2.7
DB00117,Histidine,investigational|nutraceutical,,NC(Cc1c[nH]cn1)C(=O)O,-3.32
DB00118,Ademetionine,approved|investigational|nutraceutical,A16AA02,C[S+](CCC(N)C(=O)[O-])CC1OC(n2cnc3c(N)ncnc32)C(O)C1O,
DB00119,Pyruvic acid,approved|investigational|nutraceutical,,CC(=O)C(=O)O,-0.5
DB00120,Phenylalanine,approved|investigational|nutraceutical,,NC(Cc1ccccc1)C(=O)O,-1.38
DB00121,Biotin,approved|investigational|nutraceutical,A11HA05,O=C(O)CCCCC1SCC2NC(=O)NC21,0.5
DB00122,Choline,approved|nutraceutical,,C[N+](C)(C)CCO,
DB00123,Lysine,approved|nutraceutical,V03AF11|B05XB03,NCCCCC(N)C(=O)O,-3.05
DB00125,Arginine,investigational|nutraceutical,V03AF11|B05XB01,N=C(N)NCCCC(N)C(=O)O,-4.20
DB00126,Ascorbic acid,approved|nutraceutical,G01AD03|A11GA01|A11GB01|S01XA15,O=C1OC(C(O)CO)C(O)=C1O,-1.85
DB00127,Spermine,experimental|nutraceutical,,NCCCNCCCCNCCCN,-0.7
DB00128,Aspartic acid,approved|nutraceutical,,NC(CC(=O)O)C(=O)O,-3.89
DB00129,Ornithine,approved|nutraceutical,A05BA06,NCCCC(N)C(=O)O,-4.22
DB00130,L-Glutamine,approved|investigational|nutraceutical,A16AA03,NC(=O)CCC(N)C(=O)O,-3.64
DB00131,Adenosine phosphate,approved|investigational|nutraceutical|withdrawn,,Nc1ncnc2c1ncn2C1OC(COP(=O)(O)O)C(O)C1O,-3.1
DB00132,alpha-Linolenic acid,approved|investigational|nutraceutical,,CCC=CCC=CCC=CCCCCCCCC(=O)O,6.46
DB00133,Serine,investigational|nutraceutical,,NC(CO)C(=O)O,-3.07
DB00134,Methionine,approved|nutraceutical,V03AB26,CSCCC(N)C(=O)O,-1.87
DB00135,Tyrosine,approved|investigational|nutraceutical,,NC(Cc1ccc(O)cc1)C(=O)O,-2.26
DB00136,Calcitriol,approved|nutraceutical,D05AX03|A11CC04,C=C1C(=CC=C2CCCC3(C)C2CCC3C(C)CCCC(C)(C)O)CC(O)CC1O,5
DB00137,Lutein,approved|investigational|nutraceutical,,CC(C=CC=C(C)C=CC1=C(C)CC(O)CC1(C)C)=CC=CC=C(C)C=CC=C(C)C=CC1C(C)=CC(O)CC1(C)C,7.9
DB00138,Cystine,approved|nutraceutical,,NC(CSSCC(N)C(=O)O)C(=O)O,-5.08
DB00139,Succinic acid,approved|nutraceutical,,O=C(O)CCC(=O)O,-0.59
DB00140,Riboflavin,approved|investigational|nutraceutical|vet_approved,A11HA04|S01XA26,Cc1cc2nc3c(=O)[nH]c(=O)nc-3n(CC(O)C(O)C(O)CO)c2cc1C,-1.46
DB00141,N-Acetylglucosamine,approved|investigational|nutraceutical,,CC(=O)NC(C=O)C(O)C(O)C(O)CO,-2.1
DB00142,Glutamic acid,approved|nutraceutical,A09AB01,NC(CCC(=O)O)C(=O)O,-3.69
DB00143,Glutathione,approved|investigational|nutraceutical,V03AB32,NC(CCC(=O)NC(CS)C(=O)NCC(=O)O)C(=O)O,-6.4
DB00144,Phosphatidyl serine,investigational|nutraceutical,,CCCCCCCCCCCCCCCCCC(=O)OCC(COP(=O)(O)OCC(N)C(=O)O)OC(=O)CCCCCCCCCCCCCCCCC,-3.5
DB00145,Glycine,approved|nutraceutical|vet_approved,B05CX03,NCC(=O)O,-3.21
DB00146,Calcifediol,approved|nutraceutical,A11CC06|H05BX05,C=C1CCC(O)CC1=CC=C1CCCC2(C)C1CCC2C(C)CCCC(C)(C)O,6
DB00147,Pyridoxal,experimental|nutraceutical,,Cc1ncc(CO)c(C=O)c1O,0
DB00148,Creatine,approved|investigational|nutraceutical,,CN(CC(=O)O)C(=N)N,-0.2
DB00149,Leucine,investigational|nutraceutical,,CC(C)CC(N)C(=O)O,-1.52
DB00150,Tryptophan,approved|nutraceutical|withdrawn,N06AX02,NC(Cc1c[nH]c2ccccc12)C(=O)O,-1.06
DB00151,Cysteine,approved|nutraceutical,,NC(CS)C(=O)O,-2.49
DB00152,Thiamine,approved|investigational|nutraceutical|vet_approved,A11DA01,Cc1ncc(C[n+]2csc(CCO)c2C)c(N)n1,
DB00153,Ergocalciferol,approved|nutraceutical,A11CC01,C=C1CCC(O)CC1=CC=C1CCCC2(C)C1CCC2C(C)C=CC(C)C(C)C,8.89
DB00154,Dihomo-gamma-linolenic acid,investigational|nutraceutical,,CCCCCC=CCC=CCC=CCCCCCCC(=O)O,6.8
DB00155,Citrulline,investigational|nutraceutical,,NC(=O)NCCCC(N)C(=O)O,-3.19
DB00156,Threonine,approved|nutraceutical,,CC(O)C(N)C(=O)O,-2.94
DB00157,NADH,approved|nutraceutical,,NC(=O)C1=CN(C2OC(COP(=O)(O)OP(=O)(O)OCC3OC(n4cnc5c(N)ncnc54)C(O)C3O)C(O)C2O)C=CC1,-5.1
DB00158,Folic acid,approved|nutraceutical|vet_approved,B03AE02|B03AD04|V04CX02|B03AD01|B03BB51|B03AD03|B03BB01|B03AE01|B03AD05|B03AD02,Nc1nc(=O)c2nc(CNc3ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc3)cnc2[nH]1,-2.5
DB00159,Icosapent,approved|nutraceutical,,CCC=CCC=CCC=CCC=CCC=CCCCC(=O)O,6.1
DB00160,Alanine,nutraceutical,,CC(N)C(=O)O,-2.85
DB00161,Valine,approved|nutraceutical,,CC(C)C(N)C(=O)O,-2.26
DB00162,Vitamin A,approved|nutraceutical|vet_approved,S01XA02|V04CB01|D10AD02|R01AX02|A11CA01,CC(C=CC1=C(C)CCCC1(C)C)=CC=CC(C)=CCO,5.68
DB00163,Vitamin E,approved|nutraceutical|vet_approved,,Cc1c(C)c2c(c(C)c1O)CCC(C)(CCCC(C)CCCC(C)CCCC(C)C)O2,
DB00165,Pyridoxine,approved|investigational|nutraceutical|vet_approved,J04AM08|A11HA02,Cc1ncc(CO)c(CO)c1O,-0.77
DB00166,Lipoic acid,approved|investigational|nutraceutical,A16AX01,O=C(O)CCCCC1CCSS1,2.1
DB00167,Isoleucine,investigational|nutraceutical,,CCC(C)C(N)C(=O)O,-1.70
DB00168,Aspartame,investigational|nutraceutical,,COC(=O)C(Cc1ccccc1)NC(=O)C(N)CC(=O)O,-0.1
DB00169,Cholecalciferol,approved|nutraceutical,M05BB09|M05BX53|M05BB07|M05BB08|A11CC55|M05BB05|A11CC05|M05BB03|M05BB04,C=C1CCC(O)CC1=CC=C1CCCC2(C)C1CCC2C(C)CCCC(C)C,7.5
DB00170,Menadione,approved|nutraceutical,B02BA02,CC1=CC(=O)c2ccccc2C1=O,2.20
DB00171,ATP,investigational|nutraceutical,,Nc1ncnc2c1ncn2C1OC(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)C(O)C1O,-5.5
DB00172,Proline,nutraceutical,,O=C(O)C1CCCN1,-2.54
DB00173,Adenine,approved|nutraceutical,,Nc1ncnc2nc[nH]c12,-0.09
DB00174,Asparagine,approved|investigational|nutraceutical,,NC(=O)CC(N)C(=O)O,-3.82
DB00175,Pravastatin,approved,C10AA03|C10BA11|C10BA03|C10BA12|C10BX02,CCC(C)C(=O)OC1CC(O)C=C2C=CC(C)C(CCC(O)CC(O)CC(=O)O)C21,0.59 
DB00176,Fluvoxamine,approved|investigational,N06AB08,COCCCCC(=NOCCN)c1ccc(C(F)(F)F)cc1,3.2
DB00177,Valsartan,approved|investigational,C09DX05|C10BX10|C09DA03|C09CA03|C09DX02|C09DX01|C09DB08|C09DB01|C09DX04,CCCCC(=O)N(Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1)C(C(=O)O)C(C)C,1.499
DB00178,Ramipril,approved,C09BX03|C10BX04|C09BB05|C09AA05|C10BX18|C10BX17|C09BB07|C09BX05|C10BX06|C09BA05,CCOC(=O)C(CCc1ccccc1)NC(C)C(=O)N1C(C(=O)O)CC2CCCC21,2.9
DB00179,Masoprocol,approved|investigational,L01XX10,CC(Cc1ccc(O)c(O)c1)C(C)Cc1ccc(O)c(O)c1,5.8
DB00180,Flunisolide,approved|investigational,R01AD04|R03BA03,CC1(C)OC2CC3C4CC(F)C5=CC(=O)C=CC5(C)C4C(O)CC3(C)C2(C(=O)CO)O1,1.1
DB00181,Baclofen,approved,M03BX01,NCC(CC(=O)O)c1ccc(Cl)cc1,1.3
DB00182,Amphetamine,approved|illicit|investigational,N06BA01,CC(N)Cc1ccccc1,1.76
DB00183,Pentagastrin,approved,V04CG04,CSCCC(NC(=O)C(Cc1c[nH]c2ccccc12)NC(=O)CCNC(=O)OC(C)(C)C)C(=O)NC(CC(=O)O)C(=O)NC(Cc1ccccc1)C(N)=O,1.6
DB00184,Nicotine,approved,N07BA01,CN1CCCC1c1cccnc1,1.17
DB00185,Cevimeline,approved,N07AX03,CC1OC2(CS1)CN1CCC2CC1,1.3
DB00186,Lorazepam,approved,N05BA56|N05BA06,O=C1Nc2ccc(Cl)cc2C(c2ccccc2Cl)=NC1O,2.39
DB00187,Esmolol,approved|withdrawn,C07AB09,COC(=O)CCc1ccc(OCC(O)CNC(C)C)cc1,1.7
DB00188,Bortezomib,approved|investigational,L01XG01,CC(C)CC(NC(=O)C(Cc1ccccc1)NC(=O)c1cnccn1)B(O)O,
DB00189,Ethchlorvynol,approved|illicit|withdrawn,N05CM08,C#CC(O)(C=CCl)CC,1.8
DB00190,Carbidopa,approved,,CC(Cc1ccc(O)c(O)c1)(NN)C(=O)O,-1.9
DB00191,Phentermine,approved|illicit,A08AA01|A08AA51,CC(C)(N)Cc1ccccc1,1.90
DB00192,Indecainide,approved,,CC(C)NCCCC1(C(N)=O)c2ccccc2-c2ccccc21,3.11
DB00193,Tramadol,approved|investigational,N02AJ16|N02AJ13|N02AJ14|N02AX02,COc1cccc(C2(O)CCCCC2CN(C)C)c1,1.34
DB00194,Vidarabine,approved|investigational,J05AB03|S01AD06,Nc1ncnc2c1ncn2C1OC(CO)C(O)C1O,-2.115
DB00195,Betaxolol,approved|investigational,S01ED02|C07AB05|S01ED52,CC(C)NCC(O)COc1ccc(CCOCC2CC2)cc1,2.81
DB00196,Fluconazole,approved|investigational,J01RA07|J02AC01|D01AC15,OC(Cn1cncn1)(Cn1cncn1)c1ccc(F)cc1F,0.5
DB00197,Troglitazone,approved|investigational|withdrawn,A10BG01,Cc1c(C)c2c(c(C)c1O)CCC(C)(COc1ccc(CC3SC(=O)NC3=O)cc1)O2,3.6
DB00198,Oseltamivir,approved,J05AH02,CCOC(=O)C1=CC(OC(CC)CC)C(NC(C)=O)C(N)C1,1
DB00199,Erythromycin,approved|investigational|vet_approved,J01FA01|D10AF02|S01AA17|D10AF52,CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(OC2OC(C)CC(N(C)C)C2O)C(C)(O)CC(C)C(=O)C(C)C(O)C1(C)O,2.6
DB00200,Hydroxocobalamin,approved,B03BA53|V03AB33|B03BA03,CC1=C2[N+]3=C(C=C4[N+]5=C(C(C)=C6N7C8C(CC(N)=O)C6(C)CCC(=O)NCC(C)OP(=O)([O-])OC6C(CO)OC(C6O)n6c[n+](c9cc(C)c(C)cc96)[Co-3]753(O)[N+]3=C1C(CCC(N)=O)C(C)(CC(N)=O)C83C)C(CCC(N)=O)C4(C)C)C(CCC(N)=O)C2(C)CC(N)=O,
DB00201,Caffeine,approved,D11AX26|R03DA20|V04CG30|N06BC01,Cn1c(=O)c2c(ncn2C)n(C)c1=O,-0.07
DB00202,Succinylcholine,approved,M03AB01,C[N+](C)(C)CCOC(=O)CCC(=O)OCC[N+](C)(C)C,
DB00203,Sildenafil,approved|investigational,G01AE10|G04BE03,CCCc1nn(C)c2c(=O)[nH]c(-c3cc(S(=O)(=O)N4CCN(C)CC4)ccc3OCC)nc12,1.9
DB00204,Dofetilide,approved|investigational,C01BD04,CN(CCOc1ccc(NS(C)(=O)=O)cc1)CCc1ccc(NS(C)(=O)=O)cc1,2.1
DB00205,Pyrimethamine,approved|investigational|vet_approved,P01BF09|P01BD01|P01BD51|P01BF04,CCc1nc(N)nc(N)c1-c1ccc(Cl)cc1,2.69
DB00206,Reserpine,approved|investigational|withdrawn,C02LA51|C02AA02|C02LA01|C02LA71|C02AA52,COC(=O)C1C2CC3c4[nH]c5cc(OC)ccc5c4CCN3CC2CC(OC(=O)c2cc(OC)c(OC)c(OC)c2)C1OC,3.2
DB00207,Azithromycin,approved,J01RA07|S01AA26|J01FA10|J01RA16,CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(OC2OC(C)CC(N(C)C)C2O)C(C)(O)CC(C)CN(C)C(C)C(O)C1(C)O,3.03
DB00208,Ticlopidine,approved,B01AC05,Clc1ccccc1CN1CCc2sccc2C1,2.9
DB00209,Trospium,approved,A03DA06|G04BD09,O=C(OC1CC2CCC(C1)[N+]21CCCC1)C(O)(c1ccccc1)c1ccccc1,
DB00210,Adapalene,approved,D10AD03|D10AD53,COc1ccc(-c2ccc3cc(C(=O)O)ccc3c2)cc1C12CC3CC(CC(C3)C1)C2,6.917
DB00211,Midodrine,approved,C01CA17,COc1ccc(OC)c(C(O)CNC(=O)CN)c1,-0.5
DB00212,Remikiren,experimental,C09XA01,CC(C)(C)S(=O)(=O)CC(Cc1ccccc1)C(=O)NC(Cc1cnc[nH]1)C(=O)NC(CC1CCCCC1)C(O)C(O)C1CC1,3.9
DB00213,Pantoprazole,approved,A02BD04|A02BD11|A02BC02,COc1ccnc(CS(=O)c2nc3ccc(OC(F)F)cc3[nH]2)c1OC,2.05
DB00214,Torasemide,approved,C03CA04|G01AE10,Cc1cccc(Nc2ccncc2S(=O)(=O)NC(=O)NC(C)C)c1,3.356
DB00215,Citalopram,approved,N06AB04,CN(C)CCCC1(c2ccc(F)cc2)OCc2cc(C#N)ccc21,3.76
DB00216,Eletriptan,approved|investigational,N02CC06,CN1CCCC1Cc1c[nH]c2ccc(CCS(=O)(=O)c3ccccc3)cc12,3.9
DB00217,Bethanidine,approved,C02CC01,CN=C(NC)NCc1ccccc1,0.49
DB00218,Moxifloxacin,approved|investigational,S01AE07|J01MA14,COc1c(N2CC3CCCNC3C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12,2.9
DB00219,Oxyphenonium,approved,A03AB53|A03AB03,CC[N+](C)(CC)CCOC(=O)C(O)(c1ccccc1)C1CCCCC1,0.17
DB00220,Nelfinavir,approved,J05AE04,Cc1c(O)cccc1C(=O)NC(CSc1ccccc1)C(O)CN1CC2CCCCC2CC1C(=O)NC(C)(C)C,6
DB00221,Isoetharine,approved,R03CC06|R03AC07,CCC(NC(C)C)C(O)c1ccc(O)c(O)c1,2.2
DB00222,Glimepiride,approved,A10BD04|A10BB12|A10BD06,CCC1=C(C)CN(C(=O)NCCc2ccc(S(=O)(=O)NC(=O)NC3CCC(C)CC3)cc2)C1=O,
DB00223,Diflorasone,approved,D07AC10,CC1CC2C3CC(F)C4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)CO,2.1
DB00224,Indinavir,approved,J05AE02,CC(C)(C)NC(=O)C1CN(Cc2cccnc2)CCN1CC(O)CC(Cc1ccccc1)C(=O)NC1c2ccccc2CC1O,2.9
DB00225,Gadodiamide,approved|investigational,V08CA03,CNC(=O)CN(CCN(CCN(CC(=O)[O-])CC(=O)NC)CC(=O)[O-])CC(=O)[O-].[Gd+3],
DB00226,Guanadrel,approved,,NC(N)=NCC1COC2(CCCCC2)O1,0.6
DB00227,Lovastatin,approved|investigational,C10AA02|C10BA01,CCC(C)C(=O)OC1CC(C)C=C2C=CC(C)C(CCC3CC(O)CC(=O)O3)C21,4.08
DB00228,Enflurane,approved|investigational|vet_approved,N01AB04,FC(F)OC(F)(F)C(F)Cl,2.10
DB00229,Cefotiam,approved|investigational,J01DC07,CN(C)CCn1nnnc1SCC1=C(C(=O)O)N2C(=O)C(NC(=O)Cc3csc(N)n3)C2SC1,-2.1
DB00230,Pregabalin,approved|investigational,N02BF02,CC(C)CC(CN)CC(=O)O,
DB00231,Temazepam,approved|investigational,N05CD07,CN1C(=O)C(O)N=C(c2ccccc2)c2cc(Cl)ccc21,2.19
DB00232,Methyclothiazide,withdrawn,C03AA08|C03AB08,CN1C(CCl)Nc2cc(Cl)c(S(N)(=O)=O)cc2S1(=O)=O,1.42
DB00233,Aminosalicylic acid,approved,J04AA02|J04AA03|J04AA01,Nc1ccc(C(=O)O)c(O)c1,0.89
DB00234,Reboxetine,approved|experimental,N06AX18,CCOc1ccccc1OC(c1ccccc1)C1CNCCO1,3.1
DB00235,Milrinone,approved,C01CE02,Cc1[nH]c(=O)c(C#N)cc1-c1ccncc1,
DB00236,Pipobroman,approved,L01AX02,O=C(CCBr)N1CCN(C(=O)CCBr)CC1,0.42
DB00237,Butabarbital,approved|illicit,N05CB01,CCC(C)C1(CC)C(=O)NC(=O)NC1=O,1.65
DB00238,Nevirapine,approved,J05AG01|J05AR05|J05AR07,Cc1ccnc2c1NC(=O)c1cccnc1N2C1CC1,2.5
DB00239,Oxiconazole,approved,D01AC11|G01AF17|G01AF20,Clc1ccc(CON=C(Cn2ccnc2)c2ccc(Cl)cc2Cl)c(Cl)c1,
DB00240,Alclometasone,approved,D07AB10|S01BA10,CC1CC2C3C(Cl)CC4=CC(=O)C=CC4(C)C3C(O)CC2(C)C1(O)C(=O)CO,2.7
DB00241,Butalbital,approved|illicit,N05CB01,C=CCC1(CC(C)C)C(=O)NC(=O)NC1=O,1.87
DB00242,Cladribine,approved|investigational,L04AA40|L01BB04,Nc1nc(Cl)nc2c1ncn2C1CC(O)C(CO)O1,-0.1
DB00243,Ranolazine,approved|investigational,C01EB18,COc1ccccc1OCC(O)CN1CCN(CC(=O)Nc2c(C)cccc2C)CC1,2.07
DB00244,Mesalazine,approved,A07EC02,Nc1ccc(O)c(C(=O)O)c1,
DB00245,Benzatropine,approved,N04AC01,CN1C2CCC1CC(OC(c1ccccc1)c1ccccc1)C2,4.27
DB00246,Ziprasidone,approved,N05AE04,O=C1Cc2cc(CCN3CCN(c4nsc5ccccc45)CC3)c(Cl)cc2N1,3.8
DB00247,Methysergide,approved,N02CA04,CCC(CO)NC(=O)C1C=C2c3cccc4c3c(cn4C)CC2N(C)C1,1.5
DB00248,Cabergoline,approved,N04BC06|G02CB03,C=CCN1CC(C(=O)N(CCCN(C)C)C(=O)NCC)CC2c3cccc4[nH]cc(c34)CC21,2.6
DB00249,Idoxuridine,approved|investigational,D06BB01|J05AB02|S01AD01,O=c1[nH]c(=O)n(C2CC(O)C(CO)O2)cc1I,-0.96
DB00250,Dapsone,approved|investigational,J04BA50|J04BA51|D10AX05|J04BA02,Nc1ccc(S(=O)(=O)c2ccc(N)cc2)cc1,0.97
DB00251,Terconazole,approved,G01AG02,CC(C)N1CCN(c2ccc(OCC3COC(Cn4cncn4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1,4.5
DB00252,Phenytoin,approved|vet_approved,N03AB02|N03AB52,O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1,2.47
DB00253,Medrysone,approved,S01BA08,CC(=O)C1CCC2C3CC(C)C4=CC(=O)CCC4(C)C3C(O)CC12C,3.2
DB00254,Doxycycline,approved|investigational|vet_approved,J01AA02|A01AB22|J01AA20,CC1c2cccc(O)c2C(=O)C2=C(O)C3(O)C(=O)C(C(N)=O)=C(O)C(N(C)C)C3C(O)C21,0.63
DB00255,Diethylstilbestrol,approved|investigational|withdrawn,L02AA04|L02AA01|G03CC05|G03CB02,CCC(=C(CC)c1ccc(O)cc1)c1ccc(O)cc1,5.07
DB00256,Lymecycline,approved|investigational,J01AA04|J01AA20,CN(C)C1C(O)=C(C(=O)NCNCCCCC(N)C(=O)O)C(=O)C2(O)C(O)=C3C(=O)c4c(O)cccc4C(C)(O)C3CC12,-1.70
